id,origin,sourceCardId,unit,domain,learningObjective,command,section,sectionFocus,marks,hasMedia,question
derived-y9r-068-9j-in-an-electric-field-diagram-what-do-the-arrows-show,open-answer-card,y9r-068-9j-in-an-electric-field-diagram-what-do-the-arrows-show,9J,physics,9J-static,identify,Section A,Core knowledge,1,yes,"In an electric field diagram, what do the arrows show?"
derived-y9r-069-9j-what-is-current,open-answer-card,y9r-069-9j-what-is-current,9J,physics,9J-circuits,state,Section A,Core knowledge,1,no,What is current?
derived-y9r-070-9j-how-do-we-measure-current,open-answer-card,y9r-070-9j-how-do-we-measure-current,9J,physics,9J-circuits,explain,Section B,Written reasoning,3,no,How do we measure current?
derived-y9r-073-9j-if-resistance-stays-the-same-what-happens-when-voltage-is-higher,open-answer-card,y9r-073-9j-if-resistance-stays-the-same-what-happens-when-voltage-is-higher,9J,physics,9J-resistance,explain,Section B,Written reasoning,2,no,"A component has the same resistance, but the voltage across it is increased. What happens to the current?"
derived-y9r-074-9j-if-voltage-stays-the-same-what-happens-when-resistance-is-higher,open-answer-card,y9r-074-9j-if-voltage-stays-the-same-what-happens-when-resistance-is-higher,9J,physics,9J-resistance,explain,Section B,Written reasoning,2,no,"A circuit has the same voltage, but the resistance is increased. What happens to the current?"
derived-y9r-075-9j-what-three-things-does-the-resistance-of-a-wire-depend-on,open-answer-card,y9r-075-9j-what-three-things-does-the-resistance-of-a-wire-depend-on,9J,physics,9J-wire-resistance-investigation,state,Section A,Core knowledge,3,no,What three things does the resistance of a wire depend on?
derived-y9r-076-9j-how-does-wire-length-affect-resistance,open-answer-card,y9r-076-9j-how-does-wire-length-affect-resistance,9J,physics,9J-wire-resistance-investigation,explain,Section B,Written reasoning,3,no,How does wire length affect resistance?
derived-y9r-077-9j-how-does-wire-thickness-affect-resistance,open-answer-card,y9r-077-9j-how-does-wire-thickness-affect-resistance,9J,physics,9J-wire-resistance-investigation,explain,Section B,Written reasoning,3,no,How does wire thickness affect resistance?
derived-y9r-078-9j-what-is-the-formula-for-calculating-resistance-from-voltage-and-current,open-answer-card,y9r-078-9j-what-is-the-formula-for-calculating-resistance-from-voltage-and-current,9J,physics,9J-resistance,state,Section C,Data and calculations,1,no,What is the formula for calculating resistance from voltage and current?
derived-y9r-080-9j-when-is-an-electromagnet-magnetic,open-answer-card,y9r-080-9j-when-is-an-electromagnet-magnetic,9J,physics,9J-electromagnets,state,Section A,Core knowledge,1,yes,When is an electromagnet magnetic?
derived-y9r-081-9j-give-three-ways-to-make-an-electromagnet-stronger,open-answer-card,y9r-081-9j-give-three-ways-to-make-an-electromagnet-stronger,9J,physics,9J-electromagnets,state,Section A,Core knowledge,1,yes,Give three ways to make an electromagnet stronger.
derived-y9r-084-9j-what-makes-the-coil-in-an-electric-motor-turn,open-answer-card,y9r-084-9j-what-makes-the-coil-in-an-electric-motor-turn,9J,physics,9J-electromagnets,explain,Section B,Written reasoning,2,yes,What makes the coil in an electric motor turn?
derived-y9r-085-9j-how-can-the-speed-of-the-motor-or-the-force-it-provides-be-increased,open-answer-card,y9r-085-9j-how-can-the-speed-of-the-motor-or-the-force-it-provides-be-increased,9J,physics,9J-electromagnets,explain,Section B,Written reasoning,3,yes,"How can the speed of the motor, or the force it provides, be increased?"
derived-y9p-003-9a-give-three-examples-of-living-or-biotic-factors-from-the-revision-sheet,open-answer-card,y9p-003-9a-give-three-examples-of-living-or-biotic-factors-from-the-revision-sheet,9A,biology,9A-variation,state,Section A,Core knowledge,1,no,Give three examples of living or biotic factors from the revision sheet.
derived-y9p-005-9a-what-forms-an-ecosystem,open-answer-card,y9p-005-9a-what-forms-an-ecosystem,9A,biology,9A-variation,state,Section A,Core knowledge,2,no,What forms an ecosystem?
derived-y9p-006-9a-how-can-probabilities-be-shown-in-inheritance-questions,open-answer-card,y9p-006-9a-how-can-probabilities-be-shown-in-inheritance-questions,9A,biology,9A-inheritance,explain,Section B,Written reasoning,3,no,How can probabilities be shown in inheritance questions?
derived-y9p-010-9f-what-is-a-thermite-reaction,open-answer-card,y9p-010-9f-what-is-a-thermite-reaction,9F,chemistry,9F-reactivity,state,Section A,Core knowledge,1,no,What is a thermite reaction?
derived-y9p-012-9f-in-the-thermite-reaction-which-metal-displaces-iron,open-answer-card,y9p-012-9f-in-the-thermite-reaction-which-metal-displaces-iron,9F,chemistry,9F-reactivity,identify,Section A,Core knowledge,1,no,"In the thermite reaction, which metal displaces iron?"
derived-y9p-014-9f-what-energy-supply-do-thermal-decomposition-reactions-need-to-keep-going,open-answer-card,y9p-014-9f-what-energy-supply-do-thermal-decomposition-reactions-need-to-keep-going,9F,chemistry,9F-combustion-energy-rates,state,Section A,Core knowledge,1,no,What energy supply do thermal decomposition reactions need to keep going?
derived-y9p-022-9j-how-do-you-find-the-number-of-decimal-places-in-a-number,open-answer-card,y9p-022-9j-how-do-you-find-the-number-of-decimal-places-in-a-number,9J,physics,9J-rounding-numbers,explain,Section C,Data and calculations,3,no,How do you find the number of decimal places in a number?
derived-y9p-023-9j-what-is-the-first-significant-figure-in-a-number,open-answer-card,y9p-023-9j-what-is-the-first-significant-figure-in-a-number,9J,physics,9J-rounding-numbers,state,Section C,Data and calculations,1,no,What is the first significant figure in a number?
derived-y9p-025-9j-in-the-number-3-407-how-many-decimal-places-are-there,open-answer-card,y9p-025-9j-in-the-number-3-407-how-many-decimal-places-are-there,9J,physics,9J-rounding-numbers,calculate,Section C,Data and calculations,1,no,"In the number 3.407, how many decimal places are there?"
derived-y9p-026-9j-in-the-number-0-0632-what-is-the-first-significant-figure,open-answer-card,y9p-026-9j-in-the-number-0-0632-what-is-the-first-significant-figure,9J,physics,9J-rounding-numbers,identify,Section C,Data and calculations,1,no,"In the number 0.0632, what is the first significant figure?"
derived-y9p-027-9j-round-42-786-to-one-decimal-place,open-answer-card,y9p-027-9j-round-42-786-to-one-decimal-place,9J,physics,9J-rounding-numbers,calculate,Section C,Data and calculations,1,no,Round 42.786 to one decimal place.
derived-y9p-028-9j-round-42-786-to-two-decimal-places,open-answer-card,y9p-028-9j-round-42-786-to-two-decimal-places,9J,physics,9J-rounding-numbers,calculate,Section C,Data and calculations,1,no,Round 42.786 to two decimal places.
derived-y9p-029-9j-round-0-0632-to-one-significant-figure,open-answer-card,y9p-029-9j-round-0-0632-to-one-significant-figure,9J,physics,9J-rounding-numbers,calculate,Section C,Data and calculations,1,no,Round 0.0632 to one significant figure.
derived-y9p-030-9j-round-0-0632-to-two-significant-figures,open-answer-card,y9p-030-9j-round-0-0632-to-two-significant-figures,9J,physics,9J-rounding-numbers,calculate,Section C,Data and calculations,1,no,Round 0.0632 to two significant figures.
derived-y9qb-001-9b-farming-benefit-problem-compare,open-answer-card,y9qb-001-9b-farming-benefit-problem-compare,9B,biology,9B-farming-yield-impact,explain,Section B,Written reasoning,3,yes,A farmer uses fertilisers and pesticides to increase crop yield. Explain one benefit and one possible problem for each method.
derived-y9qb-002-9e-thermal-decomposition-state-symbols,open-answer-card,y9qb-002-9e-thermal-decomposition-state-symbols,9E,chemistry,9E-energy-thermal-peer-review,state,Section A,Core knowledge,1,no,Calcium carbonate thermally decomposes. Name the two products and give the state symbol meaning for gas.
derived-y9qb-003-9f-redox-thermite-application,open-answer-card,y9qb-003-9f-redox-thermite-application,9F,chemistry,9F-combustion-energy-rates,explain,Section B,Written reasoning,3,no,"In the thermite reaction, aluminium reacts with iron oxide to form aluminium oxide and iron. Which substance is reduced, and why?"
derived-y9qb-004-9i-moments-balanced-application,open-answer-card,y9qb-004-9i-moments-balanced-application,9I,physics,9I-moments,calculate,Section C,Data and calculations,2,no,"A 20 N force acts 0.5 m from a pivot. What moment does it produce, and what equal opposite moment is needed for balance?"
derived-y9qb-005-9j-wire-resistance-investigation-variables,open-answer-card,y9qb-005-9j-wire-resistance-investigation-variables,9J,physics,9J-resistance,identify,Section A,Core knowledge,1,yes,"In a wire-resistance investigation, which variables should be controlled if you are testing how length affects resistance?"
derived-y9cgp-006-I-pressure-describe-how-liquid-pressure-changes-with-depth,open-answer-card,y9cgp-006-I-pressure-describe-how-liquid-pressure-changes-with-depth,9I,physics,9I-pressure,describe,Section B,Written reasoning,2,yes,Describe how liquid pressure changes with depth.
derived-y9cgp-007-I-pressure-why-does-a-dam-wall-need-to-be-stronger-near-the-bottom,open-answer-card,y9cgp-007-I-pressure-why-does-a-dam-wall-need-to-be-stronger-near-the-bottom,9I,physics,9I-pressure,explain,Section B,Written reasoning,3,yes,Why does a dam wall need to be stronger near the bottom?
derived-y9cgp-010-I-pressure-why-can-a-large-ship-float-even-though-it-is-made-from-dense,open-answer-card,y9cgp-010-I-pressure-why-can-a-large-ship-float-even-though-it-is-made-from-dense,9I,physics,9I-pressure,explain,Section B,Written reasoning,3,yes,Why can a large ship float even though it is made from dense metal?
derived-y9cgp-011-I-pressure-what-does-it-mean-if-an-object-floats,open-answer-card,y9cgp-011-I-pressure-what-does-it-mean-if-an-object-floats,9I,physics,9I-pressure,state,Section A,Core knowledge,1,yes,What does it mean if an object floats?
derived-y9cgp-013-I-pressure-why-do-snowshoes-help-a-person-walk-on-soft-snow,open-answer-card,y9cgp-013-I-pressure-why-do-snowshoes-help-a-person-walk-on-soft-snow,9I,physics,9I-pressure,explain,Section B,Written reasoning,3,yes,Why do snowshoes help a person walk on soft snow?
derived-y9cgp-014-I-pressure-a-block-underwater-has-equal-sized-top-and-bottom-faces-expl,open-answer-card,y9cgp-014-I-pressure-a-block-underwater-has-equal-sized-top-and-bottom-faces-expl,9I,physics,9I-pressure,explain,Section B,Written reasoning,3,yes,A block underwater has equal-sized top and bottom faces. Explain why water can produce an upward resultant force on it.
derived-y9cgp-015-I-pressure-correct-the-misconception-liquid-pressure-at-the-bottom-depe,open-answer-card,y9cgp-015-I-pressure-correct-the-misconception-liquid-pressure-at-the-bottom-depe,9I,physics,9I-pressure,explain,Section B,Written reasoning,2,yes,Correct the misconception: “Liquid pressure at the bottom depends mainly on container width.”
derived-y9cgp-048-E-heating-cooling-what-happens-to-particles-in-a-solid-when-it-is-heated,open-answer-card,y9cgp-048-E-heating-cooling-what-happens-to-particles-in-a-solid-when-it-is-heated,9E,chemistry,9E-heating-cooling,describe,Section B,Written reasoning,2,yes,What happens to particles in a solid when it is heated?
derived-y9cgp-049-E-heating-cooling-what-happens-to-particles-in-a-hot-object-as-it-cools,open-answer-card,y9cgp-049-E-heating-cooling-what-happens-to-particles-in-a-hot-object-as-it-cools,9E,chemistry,9E-heating-cooling,describe,Section B,Written reasoning,2,yes,What happens to particles in a hot object as it cools?
derived-y9cgp-053-E-heating-cooling-why-does-a-metal-spoon-in-hot-soup-become-hot-quickly,open-answer-card,y9cgp-053-E-heating-cooling-why-does-a-metal-spoon-in-hot-soup-become-hot-quickly,9E,chemistry,9E-heating-cooling,explain,Section B,Written reasoning,3,yes,Why does a metal spoon in hot soup become hot quickly?
derived-y9cgp-054-E-heating-cooling-why-does-a-plastic-handle-help-protect-your-hand-from-a-hot-,open-answer-card,y9cgp-054-E-heating-cooling-why-does-a-plastic-handle-help-protect-your-hand-from-a-hot-,9E,chemistry,9E-heating-cooling,explain,Section B,Written reasoning,3,yes,Why does a plastic handle help protect your hand from a hot pan?
derived-y9cgp-055-E-heating-cooling-what-does-a-cooling-curve-show,open-answer-card,y9cgp-055-E-heating-cooling-what-does-a-cooling-curve-show,9E,chemistry,9E-heating-cooling,state,Section A,Core knowledge,1,yes,What does a cooling curve show?
derived-y9cgp-056-E-heating-cooling-why-does-a-very-hot-drink-cool-faster-at-first-than-later,open-answer-card,y9cgp-056-E-heating-cooling-why-does-a-very-hot-drink-cool-faster-at-first-than-later,9E,chemistry,9E-heating-cooling,explain,Section B,Written reasoning,3,yes,Why does a very hot drink cool faster at first than later?
derived-y9cgp-057-E-heating-cooling-correct-the-misconception-energy-disappears-when-an-object-c,open-answer-card,y9cgp-057-E-heating-cooling-correct-the-misconception-energy-disappears-when-an-object-c,9E,chemistry,9E-heating-cooling,explain,Section B,Written reasoning,2,yes,Correct the misconception: “Energy disappears when an object cools.”
derived-y9cgp-059-E-heating-cooling-explain-why-insulation-does-not-make-heat-it-helps-keep-some,open-answer-card,y9cgp-059-E-heating-cooling-explain-why-insulation-does-not-make-heat-it-helps-keep-some,9E,chemistry,9E-heating-cooling,explain,Section B,Written reasoning,3,yes,Explain why insulation does not “make heat”; it helps keep something warm.
derived-y9cgp-067-F-periodic-table-bridge-where-are-metals-usually-found-in-the-periodic-table,open-answer-card,y9cgp-067-F-periodic-table-bridge-where-are-metals-usually-found-in-the-periodic-table,9F,chemistry,9F-periodic-table-bridge,identify,Section A,Core knowledge,1,yes,Where are metals usually found in the periodic table?
derived-y9cgp-069-F-periodic-table-bridge-give-two-general-properties-of-non-metals,open-answer-card,y9cgp-069-F-periodic-table-bridge-give-two-general-properties-of-non-metals,9F,chemistry,9F-periodic-table-bridge,state,Section A,Core knowledge,1,no,Give two general properties of non-metals.
derived-y9cgp-071-F-periodic-table-bridge-describe-the-reactivity-trend-down-group-1,open-answer-card,y9cgp-071-F-periodic-table-bridge-describe-the-reactivity-trend-down-group-1,9F,chemistry,9F-periodic-table-bridge,describe,Section C,Data and calculations,2,no,Describe the reactivity trend down Group 1.
derived-y9cgp-073-F-periodic-table-bridge-describe-the-reactivity-trend-down-group-7,open-answer-card,y9cgp-073-F-periodic-table-bridge-describe-the-reactivity-trend-down-group-7,9F,chemistry,9F-periodic-table-bridge,describe,Section C,Data and calculations,2,no,Describe the reactivity trend down Group 7.
derived-y9cgp-076-E-climate-bridge-what-causes-the-natural-greenhouse-effect,open-answer-card,y9cgp-076-E-climate-bridge-what-causes-the-natural-greenhouse-effect,9E,chemistry,9E-climate-bridge,explain,Section B,Written reasoning,2,yes,What causes the natural greenhouse effect?
derived-y9cgp-077-E-climate-bridge-why-can-extra-greenhouse-gases-increase-global-temperature,open-answer-card,y9cgp-077-E-climate-bridge-why-can-extra-greenhouse-gases-increase-global-temperature,9E,chemistry,9E-climate-bridge,explain,Section B,Written reasoning,3,yes,Why can extra greenhouse gases increase global temperature?
derived-y9cgp-079-E-climate-bridge-give-two-examples-of-evidence-used-for-global-warming,open-answer-card,y9cgp-079-E-climate-bridge-give-two-examples-of-evidence-used-for-global-warming,9E,chemistry,9E-climate-bridge,state,Section A,Core knowledge,1,no,Give two examples of evidence used for global warming.
derived-y9cgp-084-E-climate-bridge-why-do-scientists-compare-modern-temperatures-with-long-term,open-answer-card,y9cgp-084-E-climate-bridge-why-do-scientists-compare-modern-temperatures-with-long-term,9E,chemistry,9E-climate-bridge,explain,Section B,Written reasoning,3,no,Why do scientists compare modern temperatures with long-term averages?
derived-y9cgp-085-E-climate-bridge-explain-why-a-correlation-between-greenhouse-gas-emissions-a,open-answer-card,y9cgp-085-E-climate-bridge-explain-why-a-correlation-between-greenhouse-gas-emissions-a,9E,chemistry,9E-climate-bridge,explain,Section B,Written reasoning,3,yes,Explain why a correlation between greenhouse gas emissions and temperature is important but not the only evidence needed.
derived-y9cgp-102-F-chemical-energy-bridge-why-should-temperature-be-measured-before-and-after-a-reacti,open-answer-card,y9cgp-102-F-chemical-energy-bridge-why-should-temperature-be-measured-before-and-after-a-reacti,9F,chemistry,9F-chemical-energy-bridge,explain,Section B,Written reasoning,3,yes,Why should temperature be measured before and after a reaction?
derived-y9cgp-103-F-chemical-energy-bridge-give-one-example-of-an-endothermic-reaction-from-the-revisio,open-answer-card,y9cgp-103-F-chemical-energy-bridge-give-one-example-of-an-endothermic-reaction-from-the-revisio,9F,chemistry,9F-chemical-energy-bridge,state,Section A,Core knowledge,1,no,Give one example of an endothermic reaction from the revision sheet.
derived-y9cgp-104-F-chemical-energy-bridge-why-is-combustion-usually-described-as-exothermic,open-answer-card,y9cgp-104-F-chemical-energy-bridge-why-is-combustion-usually-described-as-exothermic,9F,chemistry,9F-chemical-energy-bridge,explain,Section B,Written reasoning,3,yes,Why is combustion usually described as exothermic?
derived-y9cgp-105-F-chemical-energy-bridge-correct-the-misconception-a-cold-reaction-makes-cold-energy,open-answer-card,y9cgp-105-F-chemical-energy-bridge-correct-the-misconception-a-cold-reaction-makes-cold-energy,9F,chemistry,9F-chemical-energy-bridge,explain,Section B,Written reasoning,2,no,Correct the misconception: “A cold reaction makes cold energy.”
derived-y9img-001-9i-density-water-displacement-calculate-density,open-answer-card,y9img-001-9i-density-water-displacement-calculate-density,9I,physics,9I-pressure,calculate,Section C,Data and calculations,2,yes,Use the measuring cylinders. Calculate the density of the object. Give your answer in g/cm³.
derived-y9img-002-9i-density-cuboid-calculate-density,open-answer-card,y9img-002-9i-density-cuboid-calculate-density,9I,physics,9I-pressure,calculate,Section C,Data and calculations,2,yes,Use the cuboid diagram. Calculate the density of the object in g/cm³.
derived-y9img-003-9i-pressure-solid-block-calculate-pressure,open-answer-card,y9img-003-9i-pressure-solid-block-calculate-pressure,9I,physics,9I-pressure,calculate,Section C,Data and calculations,2,yes,Use the block diagram. Calculate the pressure on the surface in N/cm².
derived-y9img-005-9i-moment-balanced-missing-distance,open-answer-card,y9img-005-9i-moment-balanced-missing-distance,9I,physics,9I-moments,calculate,Section C,Data and calculations,2,yes,Use the balanced lever diagram. Calculate the missing distance on the right-hand side.
derived-y9r6-004-9j-current-voltage-resistance-calculate,open-answer-card,y9r6-004-9j-current-voltage-resistance-calculate,9J,physics,9J-resistance,calculate,Section C,Data and calculations,2,yes,Use the current-voltage graph. Calculate the resistance of line B at 6 V.
